Annual precipitation,Temperature Change on Land,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Category Two Defects,Altitude,Processing Method_Natural / Dry,Processing Method_Other,Processing Method_Pulped natural / honey,Processing Method_Semi-washed / Semi-pulped,Processing Method_Washed / Wet,Processing Method_Anaerobico 1000h,Processing Method_intrinsic cherry,Processing Method_Double Anaerobic Washed,Processing Method_Fermented in barrels with figs 4days,Processing Method_Double Carbonic Maceration / Natural,Total Yield
1639.0797,1.067,7.58,7.5,7.42,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.33,0.12,0,0.0,2,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.33,0.11,0,0.0,2,950.0,0,0,0,0,1,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.58,7.25,7.58,7.42,7.5,10.0,10.0,10.0,7.42,82.33,0.11,0,0.0,2,950.0,0,0,0,0,1,0,0,0,0,0,89352.94
1639.0797,1.067,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82.0,0.11,0,0.0,0,1038.5,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.33,7.67,7.42,7.17,7.33,7.42,10.0,10.0,10.0,7.67,82.0,0.11,0,0.0,0,1038.5,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,82.0,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.5,7.33,7.5,7.33,7.5,10.0,10.0,10.0,7.42,82.0,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,0.11,0,0.0,1,1050.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.5,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,0.11,0,0.0,1,1050.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,82.0,0.12,0,0.0,2,950.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.58,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.33,82.0,0.12,0,0.0,2,950.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0.0,3,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0.0,3,1100.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,0.12,0,0.0,0,1250.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,0.12,0,0.0,0,1250.0,0,0,0,1,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.33,7.25,7.42,7.5,7.17,10.0,10.0,10.0,7.08,81.17,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1639.0797,1.067,7.42,7.33,7.25,7.42,7.5,7.17,10.0,10.0,10.0,7.08,81.17,0.12,0,0.0,1,1000.0,1,0,0,0,0,0,0,0,0,0,89352.94
1873.0792,0.963,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10.0,7.42,80.5,0.1,0,0.0,10,1250.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10.0,7.42,80.5,0.1,0,0.0,10,1250.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,83.0,0.12,0,0.0,4,1250.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,83.0,0.12,0,0.0,4,1250.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,0,1260.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.42,7.5,7.67,7.33,7.42,7.67,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,0,1260.0,0,0,0,1,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,8.17,82.42,0.0,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.25,7.33,7.25,7.5,7.42,7.5,10.0,10.0,10.0,8.17,82.42,0.0,0,0.0,0,1260.0,1,0,0,0,0,0,0,0,0,0,211785.71
1873.0792,0.963,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,3,1260.0,0,0,0,0,1,0,0,0,0,0,211785.71
1873.0792,0.963,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,3,1260.0,0,0,0,0,1,0,0,0,0,0,211785.71
1757.6575,1.205,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,83.0,0.0,0,0.0,0,1000.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,83.0,0.0,0,0.0,0,1000.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0.0,1,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,0.0,1,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0.0,0,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0.0,0,0.0,1,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,83.08,0.0,0,0.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,100142.86
1757.6575,1.205,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,83.08,0.0,0,0.0,1,1200.0,0,0,0,0,1,0,0,0,0,0,100142.86
1757.6575,1.205,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,16,11000.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,82.92,0.11,0,0.0,16,11000.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,82.33,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.75,8.08,7.67,8.08,8.08,8.0,10.0,10.0,6.67,8.0,82.33,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,82.25,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.75,7.58,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,82.25,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,81.83,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,81.83,0.11,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.1,0,0.0,2,1260.0,0,0,0,0,1,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,81.67,0.1,0,0.0,2,1260.0,0,0,0,0,1,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.5,7.42,7.17,7.33,7.33,10.0,10.0,10.0,7.42,81.42,0.0,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.5,7.42,7.17,7.33,7.33,10.0,10.0,10.0,7.42,81.42,0.0,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.17,7.33,7.42,7.25,7.42,7.33,10.0,10.0,10.0,7.42,81.33,0.12,0,0.0,6,1200.0,0,1,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.17,7.33,7.42,7.25,7.42,7.33,10.0,10.0,10.0,7.42,81.33,0.12,0,0.0,6,1200.0,0,1,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.33,7.25,7.25,7.25,7.33,10.0,10.0,10.0,7.25,80.92,0.12,0,0.0,8,1200.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.25,7.33,7.25,7.25,7.25,7.33,10.0,10.0,10.0,7.25,80.92,0.12,0,0.0,8,1200.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.17,7.42,7.17,7.25,7.25,7.33,10.0,10.0,10.0,7.33,80.92,0.1,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.17,7.42,7.17,7.25,7.25,7.33,10.0,10.0,10.0,7.33,80.92,0.1,0,0.0,0,1100.0,1,0,0,0,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.42,7.25,7.33,7.0,7.08,7.25,10.0,10.0,10.0,7.25,80.58,0.0,0,0.0,3,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1757.6575,1.205,7.42,7.25,7.33,7.0,7.08,7.25,10.0,10.0,10.0,7.25,80.58,0.0,0,0.0,3,1200.0,0,0,0,1,0,0,0,0,0,0,100142.86
1608.9254,1.61,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,0.0,0,0.0,16,1150.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.67,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.17,0.0,0,0.0,16,1150.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.08,0.11,0,2.0,2,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.08,0.11,0,2.0,2,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,82.83,0.11,0,2.0,2,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,82.83,0.11,0,2.0,2,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,82.83,0.12,2,0.0,6,900.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,82.83,0.12,2,0.0,6,900.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,2.0,1,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,2.0,1,905.0,0,0,1,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0.0,5,1227.0,0,0,0,1,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0.0,5,1227.0,0,0,0,1,0,0,0,0,0,0,132400.0
1608.9254,1.61,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,82.33,0.07,0,0.0,0,1268.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,8.25,7.83,7.25,8.33,8.17,8.08,10.0,6.67,10.0,7.75,82.33,0.07,0,0.0,0,1268.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,81.42,0.11,0,0.0,2,1100.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,81.42,0.11,0,0.0,2,1100.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.25,7.33,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.33,81.33,0.11,0,0.0,14,1100.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.25,7.33,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.33,81.33,0.11,0,0.0,14,1100.0,1,0,0,0,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10.0,10.0,7.33,80.5,0.11,0,0.0,3,1250.0,0,0,0,1,0,0,0,0,0,0,132400.0
1608.9254,1.61,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10.0,10.0,7.33,80.5,0.11,0,0.0,3,1250.0,0,0,0,1,0,0,0,0,0,0,132400.0
1740.583,1.544,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,2.0,7,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,2.0,7,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,83.0,0.11,0,3.0,5,894.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,83.0,0.11,0,3.0,5,894.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,0.11,0,2.0,3,872.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,0.11,0,2.0,3,872.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,82.33,0.11,0,3.0,11,982.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.33,7.5,7.5,7.33,7.5,7.5,10.0,10.0,10.0,7.67,82.33,0.11,0,3.0,11,982.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
1740.583,1.544,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,3,934.0,1,0,0,0,0,0,0,0,0,0,116307.69
