Id,Company,Bean Origin,Review Date,Cocoa Percent,Company Location,Rating (Out of 10)
91,AMMA,"Monte Alegre, 3 diff. plantations",2010.0,50%,Brazil,7.1875
92,AMMA,"Monte Alegre, 3 diff. plantations",2010.0,75%,Brazil,7.1875
93,AMMA,"Monte Alegre, 3 diff. plantations",2010.0,60%,Brazil,7.75
94,Anahata,Elvesia,2014.0,75%,U.S.A.,5.5
95,Animas,Alto Beni,2016.0,75%,U.S.A.,6.625
96,Ara,Madagascar,2014.0,75%,France,5.5
97,Ara,Chiapas,2014.0,72%,France,4.375
98,Ara,Equateur,2014.0,75%,France,4.9375
99,Ara,Trincheras,2014.0,75%,France,5.5
100,Arete,San Juan,2016.0,70%,U.S.A.,6.625
101,Arete,Kokoa Kamili,2016.0,70%,U.S.A.,7.1875
102,Arete,Tien Giang,2016.0,73%,U.S.A.,6.625
103,Arete,Hacienda Victoria,2016.0,70%,U.S.A.,6.0625
104,Arete,Costa Esmeraldas,2016.0,70%,U.S.A.,6.0625
105,Arete,Lachua,2016.0,70%,U.S.A.,6.625
106,Arete,Rugoso,2016.0,70%,U.S.A.,7.1875
107,Arete,"La Masica, FHIA",2016.0,70%,U.S.A.,6.625
108,Arete,"Coto Brus, Terciopelo",2016.0,70%,U.S.A.,7.75
109,Arete,Phantom,2016.0,70%,U.S.A.,7.75
110,Arete,Elvesia,2016.0,70%,U.S.A.,7.1875
111,Arete,Matasawalevu,2016.0,70%,U.S.A.,6.0625
112,Arete,Lam Dong,2016.0,73%,U.S.A.,6.0625
113,Arete,Fazenda Camboa,2015.0,70%,U.S.A.,6.625
114,Arete,Nacional,2015.0,68%,U.S.A.,6.625
115,Arete,"Puerto Quito, heirloom",2015.0,70%,U.S.A.,7.1875
116,Arete,Oko Caribe,2015.0,70%,U.S.A.,6.625
117,Arete,Maya Mountain,2015.0,70%,U.S.A.,7.1875
118,Arete,Chuno,2015.0,70%,U.S.A.,7.75
119,Arete,Fazenda Camboa,2015.0,75%,U.S.A.,4.9375
120,Arete,Guatemala,2015.0,70%,U.S.A.,6.0625
121,Arete,Camino Verde,2015.0,75%,U.S.A.,6.625
122,Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",2013.0,72%,U.K.,6.0625
123,Artisan du Chocolat,"Colombia, Casa Luker",2012.0,72%,U.K.,7.1875
124,Artisan du Chocolat,Haiti,2011.0,72%,U.K.,7.75
125,Artisan du Chocolat,Panama,2011.0,72%,U.K.,4.9375
126,Artisan du Chocolat,Venezuela,2010.0,100%,U.K.,2.6875
127,Artisan du Chocolat,Jamaica,2010.0,72%,U.K.,7.1875
128,Artisan du Chocolat,Costa Rica,2010.0,72%,U.K.,6.0625
129,Artisan du Chocolat,Ba Ria Vung Tau Province,2010.0,72%,U.K.,6.0625
130,Artisan du Chocolat,Bali,2010.0,72%,U.K.,6.625
131,Artisan du Chocolat,"Ocumare, Venezuela",2009.0,75%,U.K.,4.375
132,Artisan du Chocolat,Java,2009.0,72%,U.K.,4.9375
133,Artisan du Chocolat,Brazil Rio Doce,2009.0,72%,U.K.,2.6875
134,Artisan du Chocolat,Madagascar,2009.0,80%,U.K.,5.5
135,Artisan du Chocolat,Peru,2009.0,75%,U.K.,5.5
136,Artisan du Chocolat,Dominican Republic,2009.0,72%,U.K.,6.0625
137,Artisan du Chocolat,Congo,2008.0,72%,U.K.,7.1875
138,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2013.0,72%,U.K.,4.9375
139,Askinosie,Mababa,2016.0,68%,U.S.A.,7.1875
140,Askinosie,"Tenende, Uwate",2011.0,72%,U.S.A.,7.1875
141,Askinosie,Cortes,2011.0,70%,U.S.A.,7.1875
142,Askinosie,Davao,2009.0,77%,U.S.A.,7.1875
143,Askinosie,Xoconusco,2007.0,75%,U.S.A.,4.375
144,Askinosie,San Jose del Tambo,2007.0,70%,U.S.A.,5.5
145,Bahen & Co.,Houseblend,2015.0,80%,Australia,6.0625
146,Bahen & Co.,Papua New Guinea,2015.0,70%,Australia,6.625
147,Bahen & Co.,Sambirano,2012.0,70%,Australia,5.5
148,Bahen & Co.,Bahia,2012.0,70%,Australia,4.375
149,Bahen & Co.,Houseblend,2012.0,70%,Australia,4.375
150,Bakau,"Bambamarca, 2015",2015.0,70%,Peru,4.9375
151,Bakau,"Huallabamba, 2015",2015.0,70%,Peru,6.625
152,Bar Au Chocolat,Bahia,2015.0,70%,U.S.A.,6.625
153,Bar Au Chocolat,Maranon Canyon,2014.0,70%,U.S.A.,7.75
154,Bar Au Chocolat,Duarte Province,2012.0,70%,U.S.A.,6.0625
155,Bar Au Chocolat,Chiapas,2012.0,70%,U.S.A.,6.625
156,Bar Au Chocolat,Sambirano,2012.0,70%,U.S.A.,7.1875
157,Baravelli's,single estate,2012.0,80%,Wales,4.9375
158,Batch,"Dominican Republic, Batch 3",2016.0,65%,U.S.A.,6.625
159,Batch,Brazil,2016.0,70%,U.S.A.,7.1875
160,Batch,Ecuador,2016.0,65%,U.S.A.,6.0625
161,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",2017.0,73%,U.K.,5.5
162,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",2017.0,72%,U.K.,6.0625
163,Beehive,"Brazil, Batch 20316",2016.0,80%,U.S.A.,4.9375
164,Beehive,"Dominican Republic, Batch 31616",2016.0,70%,U.S.A.,4.9375
165,Beehive,"Ecuador, Batch 31516",2016.0,70%,U.S.A.,4.9375
166,Beehive,Ecuador,2016.0,90%,U.S.A.,4.9375
167,Belcolade,Costa Rica,2010.0,64%,Belgium,4.9375
168,Belcolade,Papua New Guinea,2010.0,64%,Belgium,4.9375
169,Belcolade,Peru,2010.0,64%,Belgium,4.9375
170,Belcolade,Ecuador,2010.0,71%,Belgium,6.625
172,Bellflower,"Alto Beni, Palos Blanco",2016.0,70%,U.S.A.,6.0625
173,Bellflower,"Oko Caribe, Duarte P.",2016.0,70%,U.S.A.,6.625
174,Belyzium,"Belize south, low fermentation",2016.0,83%,Germany,4.9375
175,Belyzium,Belize south,2016.0,78%,Germany,5.5
176,Belyzium,Belize south,2016.0,83%,Germany,6.625
177,Benoit Nihant,Baracoa,2013.0,74%,Belgium,6.625
178,Benoit Nihant,Chuao,2013.0,74%,Belgium,6.625
180,Benoit Nihant,Rio Peripa H.,2013.0,73%,Belgium,7.75
181,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",2011.0,72%,Belgium,7.75
182,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C",2011.0,72%,Belgium,7.1875
183,Bernachon,Nature,2012.0,55%,France,4.9375
184,Beschle (Felchlin),Madagascar,2011.0,64%,Switzerland,5.5
185,Beschle (Felchlin),Maracaibo,2011.0,88%,Switzerland,5.5
186,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",2011.0,72%,Switzerland,6.625
187,Beschle (Felchlin),Ecuador,2011.0,72%,Switzerland,7.75
188,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",2010.0,70%,Switzerland,6.0625
189,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",2010.0,74%,Switzerland,6.0625
190,Beschle (Felchlin),"Java, Grand Cru",2010.0,64%,Switzerland,6.625
191,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",2010.0,72%,Switzerland,6.625
192,Bisou,"Nicaragua, American style",2015.0,76%,U.S.A.,4.375
193,Bisou,"San Andres, American style",2015.0,76%,U.S.A.,4.375
194,Bisou,"San Andres, silk",2015.0,78%,U.S.A.,4.375
195,Bisou,Belize,2015.0,86%,U.S.A.,6.0625
196,Bittersweet Origins,Ghana,2012.0,72%,U.S.A.,6.625
197,Bittersweet Origins,"Bali, Singaraja",2010.0,75%,U.S.A.,6.0625
198,Bittersweet Origins,2009 Hapa Nibby,2010.0,70%,U.S.A.,7.1875
199,Bittersweet Origins,"Bali, Singaraja",2010.0,65%,U.S.A.,4.9375
200,Bittersweet Origins,"Sambirano, 2009",2010.0,70%,U.S.A.,5.5
201,Bittersweet Origins,"Ocumare, prototype",2010.0,78%,U.S.A.,5.5
202,Bittersweet Origins,Puerto Plata,2009.0,75%,U.S.A.,5.5
203,Bittersweet Origins,Puerto Plata,2009.0,65%,U.S.A.,6.625
204,Bittersweet Origins,Sambirano,2009.0,75%,U.S.A.,6.0625
205,Bittersweet Origins,Sambirano,2009.0,65%,U.S.A.,6.625
206,Bittersweet Origins,Sambirano,2008.0,71%,U.S.A.,5.5
207,Bittersweet Origins,Bocas del Toro,2008.0,75%,U.S.A.,6.625
208,Bittersweet Origins,Puerto Plata,2008.0,68%,U.S.A.,7.1875
209,Bittersweet Origins,Ankasa,2008.0,70%,U.S.A.,5.5
210,Black Mountain,La Red,2008.0,70%,U.S.A.,4.9375
211,Black Mountain,Carenero Superior,2008.0,70%,U.S.A.,4.9375
212,Black Mountain,Matiguas,2008.0,70%,U.S.A.,5.5
213,Black River (A. Morin),Blue Mountain Region,2014.0,70%,U.K.,4.9375
214,Blanxart,"Congo, Grand Cru",2013.0,82%,Spain,6.625
215,Blanxart,Organic Dark,2009.0,72%,Spain,4.9375
216,Blue Bandana,"Akesson's E., Sambirano V.",2016.0,82%,U.S.A.,6.625
217,Blue Bandana,Lachua,2016.0,75%,U.S.A.,4.9375
218,Blue Bandana,Kokoa Kamili,2016.0,75%,U.S.A.,6.625
219,Blue Bandana,Zorzal Reserva,2016.0,75%,U.S.A.,5.5
220,Blue Bandana,Guatemala,2012.0,70%,U.S.A.,6.625
221,Blue Bandana,Madagascar,2012.0,70%,U.S.A.,7.1875
222,Bonnat,Selva Maya,2016.0,75%,France,6.625
223,Bonnat,Kaori,2014.0,75%,France,7.75
224,Bonnat,"Los Colorados, Santo Domingo, Equateur",2014.0,75%,France,6.0625
225,Bonnat,Surfin,2014.0,65%,France,7.1875
226,Bonnat,Maragnam,2013.0,75%,France,6.625
227,Bonnat,Gabon,2013.0,75%,France,6.0625
228,Bonnat,Cuba,2011.0,75%,France,6.625
229,Bonnat,"Cusco, Cacao Cusco",2011.0,75%,France,6.625
230,Bonnat,Piura Blanco,2011.0,75%,France,6.625
231,Bonnat,Libanio,2011.0,75%,France,7.1875
232,Bonnat,Haiti,2011.0,75%,France,7.75
233,Bonnat,"Madagascar, 100% criollo",2011.0,75%,France,7.75
234,Bonnat,Juliana,2011.0,75%,France,6.625
235,Bonnat,Jamaique,2011.0,75%,France,6.0625
236,Bonnat,Ivory Coast,2009.0,75%,France,5.5
237,Bonnat,"Porcelana, Apotequil",2009.0,75%,France,4.9375
238,Bonnat,"Porcelana, Tabasco, Marfil de Blanco",2009.0,75%,France,5.5
239,Bonnat,"Xoconusco, cacao Real",2009.0,75%,France,5.5
240,Bonnat,"Porcelana, Venezuela",2008.0,75%,France,7.75
241,Bonnat,Equateur,2007.0,75%,France,4.375
242,Bonnat,Trinite,2006.0,75%,France,7.1875
243,Bonnat,"Ocumare, Puerto Cabello",2006.0,75%,France,7.75
244,Bonnat,"Maracaibo, El Rosario",2006.0,75%,France,7.75
245,Bonnat,Madagascar,2006.0,75%,France,7.75
246,Bonnat,One Hundred,2006.0,100%,France,2.125
247,Bonnat,Ceylan,2006.0,75%,France,5.5
248,Bonnat,Chuao,2006.0,75%,France,7.75
249,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009.0,77%,Ecuador,6.0625
250,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",2009.0,100%,Ecuador,2.125
251,Bowler Man,Maya Mountain,2014.0,70%,U.S.A.,4.9375
252,Bowler Man,Conacado,2014.0,70%,U.S.A.,4.9375
253,Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",2016.0,70%,U.S.A.,6.625
254,Brasstown aka It's Chocolate,"O'payo, Waslala",2016.0,70%,U.S.A.,7.1875
255,Brasstown aka It's Chocolate,Conacado,2015.0,68%,U.S.A.,7.1875
256,Brasstown aka It's Chocolate,Maya Mountain,2014.0,70%,U.S.A.,7.1875
257,Brasstown aka It's Chocolate,Chuao,2014.0,70%,U.S.A.,7.75
258,Brasstown aka It's Chocolate,Cooproagro,2013.0,72%,U.S.A.,5.5
259,Brasstown aka It's Chocolate,"Camino Verde, Guayas",2013.0,70%,U.S.A.,6.0625
260,Brasstown aka It's Chocolate,Ghana,2013.0,75%,U.S.A.,6.625
261,Brasstown aka It's Chocolate,"Chuao, Mantuano blend",2013.0,85%,U.S.A.,6.625
262,Brazen,Elvesia P.,2015.0,60%,U.S.A.,5.5
263,Brazen,Elvesia P.,2015.0,80%,U.S.A.,6.0625
264,Brazen,"Alta Verapaz, 2014",2015.0,70%,U.S.A.,6.625
265,Brazen,Ambolikapiky P.,2015.0,80%,U.S.A.,4.9375
266,Brazen,Maya Mountain,2015.0,80%,U.S.A.,6.0625
267,Brazen,Ambolikapkly P.,2015.0,60%,U.S.A.,6.0625
268,Breeze Mill,Jamaica,2013.0,70%,U.S.A.,5.5
269,Bright,Somia Plantation,2014.0,72%,Australia,5.5
270,Bright,Marabel Farms,2014.0,70%,Australia,6.625
271,Bright,"Camino Verde, Balao, Guayas",2014.0,72%,Australia,6.625
272,Bright,Gran Couva,2014.0,68%,Australia,4.9375
273,Britarev,Ecuador,2015.0,70%,Russia,6.0625
274,Bronx Grrl Chocolate,Dominican Republic,2013.0,68%,U.S.A.,4.9375
275,Burnt Fork Bend,Trinidad,2014.0,72%,U.S.A.,6.0625
276,Burnt Fork Bend,Mindo,2014.0,72%,U.S.A.,6.625
277,Burnt Fork Bend,Belize,2014.0,72%,U.S.A.,6.0625
278,Burnt Fork Bend,Blend,2014.0,72%,U.S.A.,6.0625
279,Burnt Fork Bend,"Ecuador, Bob Bar",2014.0,60%,U.S.A.,4.375
280,Cacao Arabuco,Puerto Rico,2015.0,70%,Puerto Rico,4.375
281,Cacao Atlanta,Tumbes,2014.0,75%,U.S.A.,4.375
282,Cacao Atlanta,"Dominican Republic, ""Love Bar""",2010.0,75%,U.S.A.,4.375
283,Cacao Atlanta,Dominican Republic w/ nibs,2010.0,75%,U.S.A.,4.9375
284,Cacao Atlanta,Patanemo,2010.0,75%,U.S.A.,3.8125
285,Cacao Barry,Grand 'Anse,2016.0,65%,France,6.625
286,Cacao Barry,Santo Domingo,2010.0,70%,France,5.5
287,Cacao Barry,Tanzania,2008.0,75%,France,3.25
288,Cacao Barry,Venezuela,2007.0,72%,France,3.25
289,Cacao Barry,Mexico,2007.0,66%,France,5.5
290,Cacao de Origen,Chuao,2015.0,77%,Venezuela,6.625
291,Cacao de Origen,Rio Caribe,2015.0,75%,Venezuela,6.0625
292,Cacao de Origen,Agua Fria; Sucre region,2014.0,75%,Venezuela,4.375
293,Cacao de Origen,Macuare; Miranda; Chloe formula,2014.0,74%,Venezuela,6.0625
294,Cacao de Origen,"Chuao, Aragua region",2014.0,75%,Venezuela,6.625
295,Cacao de Origen,"Chuao, Aragua region",2014.0,70%,Venezuela,7.1875
296,Cacao de Origin,Hacienda la Trinidad,2015.0,74%,Venezuela,6.0625
297,Cacao Hunters,Macondo,2016.0,71%,Colombia,7.1875
298,Cacao Hunters,Perla Negra,2016.0,74%,Colombia,7.1875
299,Cacao Hunters,Arhuacos,2015.0,72%,Colombia,7.1875
300,Cacao Hunters,Sierra Nevada,2014.0,64%,Colombia,6.625
301,Cacao Hunters,Tumaco,2014.0,70%,Colombia,6.625
302,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",2014.0,69%,Colombia,4.9375
303,Cacao Hunters,Arauca,2014.0,70%,Colombia,6.0625
304,Cacao Market,"Jutiapa, lot 050916D",2016.0,70%,U.S.A.,6.625
305,Cacao Prieto,"Criollo, Dominican Republic",2012.0,72%,U.S.A.,7.1875
306,Cacao Prieto,"Dominican Republicm, rustic",2011.0,72%,U.S.A.,5.5
307,Cacao Prieto,Dominican Republic,2011.0,66%,U.S.A.,7.1875
308,Cacao Prieto,"Dominican Republic, rustic",2011.0,65%,U.S.A.,6.0625
309,Cacao Sampaka,"Mahali, Kasai",2016.0,70%,Spain,6.625
310,Cacao Sampaka,Madagascar,2010.0,71%,Spain,6.625
311,Cacao Sampaka,Ecuador,2010.0,71%,Spain,7.1875
312,Cacao Sampaka,Papua,2010.0,71%,Spain,7.75
313,Cacao Sampaka,Grenada,2010.0,71%,Spain,6.0625
314,Cacao Sampaka,Venezuela,2010.0,71%,Spain,6.625
315,Cacao Sampaka,Venezuela,2010.0,77%,Spain,6.625
316,Cacao Sampaka,"Porcelana, Tabasco, La Joya",2009.0,70%,Spain,7.75
317,Cacao Sampaka,"Xoconusco, Chiapas",2009.0,70%,Spain,7.75
318,Cacao Store,Madagascar,2015.0,70%,Japan,5.5
319,Cacao Store,Peru,2015.0,70%,Japan,6.0625
320,Cacao Store,Vietnam,2015.0,70%,Japan,6.625
321,Cacaosuyo (Theobroma Inversiones),Piura,2013.0,70%,Peru,6.0625
322,Cacaoyere (Ecuatoriana),Amazonia,2008.0,63%,Ecuador,6.625
323,Cacaoyere (Ecuatoriana),Esmeraldas,2008.0,71%,Ecuador,6.625
324,Cacaoyere (Ecuatoriana),Bolivar,2008.0,82%,Ecuador,4.375
325,Cacaoyere (Ecuatoriana),Pichincha,2008.0,91%,Ecuador,2.125
326,Callebaut,Grenade,2008.0,60%,Belgium,4.9375
327,Callebaut,Baking,2007.0,70%,Belgium,1.0
328,C-Amaro,Cuba,2014.0,75%,Italy,4.375
329,C-Amaro,Dominican Republic,2014.0,72%,Italy,5.5
330,C-Amaro,"Lago di Como, Blu",2014.0,70%,Italy,6.625
331,C-Amaro,Ecuador,2013.0,100%,Italy,6.625
332,C-Amaro,Venezuela,2012.0,80%,Italy,5.5
333,C-Amaro,Sao Tome,2011.0,78%,Italy,3.8125
334,C-Amaro,Trinidad,2011.0,70%,Italy,4.375
335,Cao,Porcelana,2016.0,75%,U.S.A.,4.375
336,Cao,Tanzania,2016.0,73%,U.S.A.,4.9375
337,Cao,"Porcelana, Batch 5163",2016.0,70%,U.S.A.,5.5
338,Cao,Bolivia,2016.0,75%,U.S.A.,5.5
339,Cao,Brazil,2016.0,70%,U.S.A.,6.0625
340,Caoni (Tulicorp),Esmeraldas,2008.0,77%,Ecuador,3.25
341,Caoni (Tulicorp),Manabi,2008.0,77%,Ecuador,4.375
342,Caoni (Tulicorp),Los Rios,2008.0,77%,Ecuador,4.9375
343,Caoni (Tulicorp),Manabi,2008.0,55%,Ecuador,5.5
344,Caoni (Tulicorp),Los Rios,2008.0,55%,Ecuador,6.0625
345,Caoni (Tulicorp),Esmeraldas,2008.0,55%,Ecuador,6.625
346,Captain Pembleton,"Saidor Estate, Madang P.",2014.0,70%,New Zealand,6.625
347,Captain Pembleton,Kulili Estate,2014.0,70%,New Zealand,7.1875
348,Caribeans,"Antigua, Special Reserve",2015.0,72%,Costa Rica,6.625
349,Caribeans,"Talamanca, Raul-Kekoldo community",2015.0,72%,Costa Rica,6.0625
350,Caribeans,Anselmo Paraiso Estate,2015.0,72%,Costa Rica,6.625
351,Caribeans,Costa Rica,2012.0,72%,Costa Rica,5.5
352,Caribeans,Costa Rica,2012.0,80%,Costa Rica,4.9375
353,Carlotta Chocolat,Arauca,2016.0,65%,Colombia,5.5
354,Carlotta Chocolat,Tumaco,2016.0,65%,Colombia,6.0625
355,Carlotta Chocolat,Cordoba,2016.0,65%,Colombia,6.0625
356,Carlotta Chocolat,Huila,2016.0,65%,Colombia,6.625
357,Carlotta Chocolat,Cesar,2016.0,65%,Colombia,6.625
358,Castronovo,"Maya Mtn, Batch 454, Heirloom",2016.0,72%,U.S.A.,7.75
359,Castronovo,"the lost city, gracias a dias, batch 362",2015.0,72%,U.S.A.,6.625
360,Castronovo,"Duarte, Batch 360",2015.0,70%,U.S.A.,7.1875
361,Castronovo,"Piaroa, Amazonas, Batch 350",2015.0,72%,U.S.A.,6.625
362,Castronovo,Sierra Nevada,2014.0,72%,U.S.A.,6.625
363,Castronovo,Arauca,2014.0,76%,U.S.A.,6.625
364,Castronovo,Elvesia P.,2014.0,70%,U.S.A.,4.9375
365,Castronovo,Bolivia,2013.0,70%,U.S.A.,5.5
366,Castronovo,Conacado,2013.0,73%,U.S.A.,6.625
367,Castronovo,San Martin,2013.0,70%,U.S.A.,4.375
368,Castronovo,"Guaniamo, Amazonas",2013.0,70%,U.S.A.,6.0625
369,Castronovo,Nicaragua,2013.0,72%,U.S.A.,6.0625
370,Castronovo,Tumbes,2013.0,70%,U.S.A.,4.9375
371,Castronovo,Guaniamo,2013.0,72%,U.S.A.,5.5
372,Cello,Ecuador,2014.0,70%,U.S.A.,4.375
373,Cello,Peru,2014.0,70%,U.S.A.,4.9375
374,Cello,Venezuela,2014.0,70%,U.S.A.,4.9375
375,Cello,Bolivia,2014.0,70%,U.S.A.,5.5
376,Cemoi,Equateur,2009.0,72%,France,4.9375
377,Chaleur B,Uganda,2014.0,70%,Canada,4.9375
378,Charm School,Maya Mtn,2016.0,70%,U.S.A.,6.0625
379,Chchukululu (Tulicorp),Arriba,2010.0,55%,Ecuador,4.9375
380,Chchukululu (Tulicorp),Los Rios,2008.0,75%,Ecuador,5.5
381,Chequessett,la Amistad,2014.0,70%,U.S.A.,6.625
382,Chloe Chocolat,Blend No. 1,2011.0,70%,France,6.625
383,Chocablog,Ecuador,2015.0,70%,U.K.,6.0625
384,Choco Del Sol,Maya Mountain w/ nibs,2014.0,75%,Germany,5.5
385,Choco Del Sol,Maya Mountain,2014.0,82%,Germany,6.0625
386,Choco Dong,"Mekong Delta, early 2014 Harvest",2015.0,70%,South Korea,4.9375
387,Choco Dong,"Tawau, Oct. 2015 Harvest",2015.0,70%,South Korea,6.625
388,Chocolarder,Peru,2015.0,65%,U.K.,4.375
